07/02/2025 10:02:53:755,Began,637.5,455.5,0.00,1.00,0.00
07/02/2025 10:02:53:755,Began,637.50,455.50,0.00,1.00,0.00
07/02/2025 10:02:53:803,Moved,627.5,330.5,0.00,1.00,0.00
07/02/2025 10:02:53:827,Moved,623.75,265.5,0.00,1.00,0.00
07/02/2025 10:02:53:843,Moved,622.5,229.25,0.00,1.00,0.00
07/02/2025 10:02:53:856,Moved,620,155.5,0.00,1.00,0.00
07/02/2025 10:02:53:868,Moved,618.75,119.25,0.00,1.00,0.00
07/02/2025 10:02:53:883,Moved,618.75,81.75002,0.00,1.00,0.00
07/02/2025 10:02:53:914,Ended,618.75,45.50002,0.00,1.00,0.00
07/02/2025 10:02:53:914,Ended,618.75,45.50,0.00,1.00,0.00
07/02/2025 10:02:54:395,Moved,618.75,45.50,0.00,1.00,3.20
07/02/2025 10:02:54:912,Began,688.75,606.75,0.00,1.00,3.20
07/02/2025 10:02:54:912,Began,688.75,606.75,0.00,1.00,3.20
07/02/2025 10:02:54:925,Moved,691.25,600.5,0.00,1.00,3.20
07/02/2025 10:02:54:939,Moved,692.5,594.25,0.00,1.00,3.20
07/02/2025 10:02:54:960,Moved,692.5,570.5,0.00,1.00,3.20
07/02/2025 10:02:54:974,Moved,692.5,554.25,0.00,1.00,3.20
07/02/2025 10:02:54:992,Moved,690,514.25,0.00,1.00,3.20
07/02/2025 10:02:55:008,Moved,687.5,489.25,0.00,1.00,3.20
07/02/2025 10:02:55:026,Moved,683.75,430.5,0.00,1.00,3.20
07/02/2025 10:02:55:038,Moved,680,364.25,0.00,1.00,3.20
07/02/2025 10:02:55:057,Moved,673.75,294.25,0.00,1.00,3.20
07/02/2025 10:02:55:068,Moved,672.5,261.75,0.00,1.00,3.20
07/02/2025 10:02:55:084,Moved,668.75,229.25,0.00,1.00,3.20
07/02/2025 10:02:55:098,Moved,666.25,170.5,0.00,1.00,3.20
07/02/2025 10:02:55:113,Moved,665,141.75,0.00,1.00,3.20
07/02/2025 10:02:55:129,Moved,665,81.75002,0.00,1.00,3.20
07/02/2025 10:02:55:138,Moved,667.5,51.75002,0.00,1.00,3.20
07/02/2025 10:02:55:155,Moved,671.25,20.50002,0.00,1.00,3.20
07/02/2025 10:02:55:167,Ended,671.25,20.50002,0.00,1.00,3.20
07/02/2025 10:02:55:167,Ended,671.25,20.50,0.00,1.00,3.20
07/02/2025 10:02:55:665,Began,582.5,648,0.00,1.00,7.67
07/02/2025 10:02:55:665,Began,582.50,648.00,0.00,1.00,7.67
07/02/2025 10:02:55:680,Moved,582.5,648,0.00,1.00,7.78
07/02/2025 10:02:55:680,Moved,671.25,20.50,0.00,1.00,7.78
07/02/2025 10:02:55:695,Stationary,582.5,648,0.00,1.00,7.78
07/02/2025 10:02:55:708,Moved,581.25,646.75,0.00,1.00,7.78
07/02/2025 10:02:55:729,Moved,577.5,630.5,0.00,1.00,7.78
07/02/2025 10:02:55:740,Moved,573.75,614.25,0.00,1.00,7.78
07/02/2025 10:02:55:756,Moved,567.5,569.25,0.00,1.00,7.78
07/02/2025 10:02:55:768,Moved,565,543,0.00,1.00,7.78
07/02/2025 10:02:55:786,Moved,560,483,0.00,1.00,7.78
07/02/2025 10:02:55:798,Moved,557.5,451.75,0.00,1.00,7.78
07/02/2025 10:02:55:814,Moved,552.5,389.25,0.00,1.00,7.78
07/02/2025 10:02:55:825,Moved,548.75,359.25,0.00,1.00,7.78
07/02/2025 10:02:55:839,Moved,546.25,329.25,0.00,1.00,7.78
07/02/2025 10:02:55:856,Moved,540,274.25,0.00,1.00,7.78
07/02/2025 10:02:55:866,Moved,537.5,245.5,0.00,1.00,7.78
07/02/2025 10:02:55:888,Moved,531.25,170.5,0.00,1.00,7.78
07/02/2025 10:02:55:896,Stationary,531.25,170.5,0.00,1.00,7.78
07/02/2025 10:02:55:918,Moved,530,128,0.00,1.00,7.78
07/02/2025 10:02:55:935,Moved,531.25,108,0.00,1.00,7.78
07/02/2025 10:02:55:954,Moved,532.5,59.25002,0.00,1.00,7.78
07/02/2025 10:02:55:968,Moved,532.5,48.00002,0.00,1.00,7.78
07/02/2025 10:02:55:984,Ended,532.5,48.00002,0.00,1.00,7.78
07/02/2025 10:02:55:984,Ended,532.50,48.00,0.00,1.00,7.78
07/02/2025 10:02:56:322,Began,543.75,610.5,0.00,1.00,10.87
07/02/2025 10:02:56:322,Began,543.75,610.50,0.00,1.00,10.87
